Condition	Replicate	Median	Mean	Std	Total events	Mean scaled
1	r1	0.0410781421161311	0.043948429460023024	0.017127581501519856	64559	4.21878001827375
1	r2	0.03931371297043241	0.04150857277355147	0.013633722506735545	69653	0.7485482325503137
1	r3	0.039824700620401096	0.0417083348369026	0.013481114287769201	67227	1.032671749175916
2	r1	0.05675048149458424	0.07588473249247706	0.057274299825029205	51570	49.64209300064061
2	r2	0.0560363949302444	0.0739252720138619	0.05452145995682258	56367	46.85513339212654
2	r3	0.05619095721470667	0.0745803164388626	0.055910276536946774	55942	47.7868094193713
3	r1	0.07610371190261357	0.09712193482316556	0.06657251062893375	53509	79.84797147556652
3	r2	0.07568284744863689	0.0958659348103328	0.06410643883898685	60605	78.06155049782271
3	r3	0.07599251187397402	0.09622640187145487	0.06425804674249444	56866	78.57424628858293
4	r1	0.0860552951494436	0.11124144967883137	0.07767066079390217	59552	99.93029414755316
4	r2	0.08478064552430724	0.1095220236812711	0.07627560124379124	66140	97.48473790524702
4	r3	0.08830824527223341	0.11310790241755483	0.07671791037934535	63170	102.58496794719979
5	r1	0.04819324234354194	0.06164364221525631	0.04620737195245576	58499	29.386852429589688
5	r2	0.04716249984579176	0.059847562635475395	0.04431016507797238	62749	26.83227105519829
5	r3	0.04808927000879508	0.06058353224827002	0.04348348568816304	59491	27.87904776048911
6	r1	0.05217764288397832	0.06566512965152965	0.047204510957595126	63760	35.106652942719506
6	r2	0.05158916517044482	0.06443626720225505	0.046500596853872395	68622	33.358829984346585
6	r3	0.052496220387448	0.06545806017392779	0.04652207501938319	66267	34.812136020061104
7	r1	0.054703685369890315	0.06892992341630813	0.04939979493560709	62792	39.75020072123698
7	r2	0.05494591891384241	0.0684531151266166	0.04867571039294926	70794	39.072031674768574
7	r3	0.05815409241406174	0.0727032017700458	0.05079015784692081	66841	45.11697105333343
