Condition	Replicate	Median	Mean	Std	Total events	Mean scaled
1	r1	0.04021183653458253	0.04261963643036047	0.016415463158947284	72180	1.9190115563690098
1	r2	0.040804947724075925	0.04293948346975528	0.015083812008566497	73813	2.0809884436309902
2	r1	0.052315809670170244	0.06387952796058916	0.04076529264921154	57894	12.685442473189688
2	r2	0.05388803555671754	0.06657112146850537	0.04340394910141866	57557	14.048518833101447
3	r1	0.06421205916702717	0.07736131204978358	0.04635695142747687	59298	19.51288544604867
3	r2	0.06457388892318577	0.07818877343486542	0.04796147265374703	58098	19.931928310221014
4	r1	0.08854783953918821	0.10325485945083102	0.05890764407589331	57146	32.62589163840906
4	r2	0.0896033643555259	0.10433271450085817	0.058678885021195754	56648	33.171738822904956
5	r1	0.1187123857251265	0.13787053115147418	0.07749144426158144	58575	50.155954643406446
5	r2	0.11481832275843262	0.13367487841694786	0.07515722844752921	60545	48.031192847090665
6	r1	0.14108920569958733	0.16412164672244725	0.09360907236755776	59422	63.45004045200498
6	r2	0.14180134969798902	0.16507886656402568	0.09396649818769896	58584	63.93479557325809
7	r1	0.1968009669506419	0.23765085932590152	0.15251545955965373	69577	100.68669270574276
7	r2	0.19569859670530812	0.23493890908882126	0.1493640460653422	67943	99.31330729425724
